summons_number,plate_id,registration_state,plate_type,issue_date,violation_code,vehicle_body_type,vehicle_make,issuing_agency,street_code1,street_code2,street_code3,vehicle_expiration_date,violation_location,violation_precinct,issuer_precinct,issuer_code,issuer_command,issuer_squad,violation_time,time_first_observed,violation_county,violation_in_front_of_or_opposite,house_number,street_name,intersecting_street,date_first_observed,law_section,sub_division,violation_legal_code,days_parking_in_effect,from_hours_in_effect,to_hours_in_effect,vehicle_color,unregistered_vehicle?,vehicle_year,meter_number,feet_from_curb,violation_post_code,violation_description,no_standing_or_stopping_violation,hydrant_violation,double_parking_violation,vehicle_color_standard,borough,hour,day_of_week,year,month,restriction_start_hour,month_name
9139716661,LKS7820,NY,PAS,2024-07-02,38,SUBN,TOYOT,T,26790,28590,12810,20260312,5.0,5,5,363518,T105,J,0209P,,NY,F,42A,MOTT ST,,0.0,408.0,H1,,YYYYYY,0730A,1000P,WH,,2024.0,100038,0.0,71.0,38-FAILURE TO DSPLAY METER REC,,,,WHITE,Manhattan,2.0,Tuesday,2024,7,7.0,July
4903865265,Y23UMS,NJ,PAS,2024-06-21,36,VAN,ME/BE,V,0,40404,40404,0,,0,0,0,,,1009A,,BK,,,NB UTICA AVE @ AVE L,,0.0,1180.0,B,T,,,,,,2024.0,,0.0,,PHTO SCHOOL ZN SPEED VIOLATION,,,,,Brooklyn,10.0,Friday,2024,6,,June
9140510268,N76NJN,NJ,PAS,2024-07-08,14,SUBN,HYUND,T,24890,17910,17930,88888888,18.0,18,18,356484,T106,H,0325P,,NY,F,485,LEXINGTON AVE,,0.0,408.0,C,,YYYYYYY,,,WHITE,,0.0,,0.0,12.0,14-NO STANDING,,,,WHITE,Manhattan,3.0,Monday,2024,7,,July
9136561575,42UD91,NY,MCL,2024-07-12,71,MCY,HONDA,T,47030,58730,85730,20240430,79.0,79,79,376215,T301,G,0939A,,K,F,252,HANCOCK ST,,0.0,408.0,J6,,YYYYYYY,,,BLACK,,0.0,,0.0,9.0,71A-INSP STICKER EXPIRED (NYS),,,,BLACK,Brooklyn,9.0,Friday,2024,7,,July
9139621832,76925NE,NY,COM,2024-07-11,14,VAN,ISUZU,T,51090,64790,23070,20260228,103.0,103,103,370871,T402,O,1116A,,Q,F,147-21,JAMAICA AVE,,0.0,408.0,C,,YYYYYYY,,,WH,,2018.0,,0.0,12.0,14-NO STANDING,,,,WHITE,Queens,11.0,Thursday,2024,7,,July
1493975122,JRV5673,NY,PAS,2024-07-14,20,SDN,SUBAR,P,0,40404,40404,20260601,1.0,1,1,970344,0001,0000,0103P,,NY,,140,WASHINGTON,,0.0,408.0,E5,,YYYYYYY,ALL,ALL,BLUE,0.0,2007.0,-,0.0,,,,,,BLUE,Manhattan,1.0,Sunday,2024,7,,July
4906336322,AM37769,AZ,PAS,2024-07-05,36,CARG,RAM,V,0,0,0,0,,0,0,0,,,0621P,,BK,,,NB OCEAN AVE @ FARRA,GUT RD,0.0,1180.0,B,T,,,,,,2023.0,,0.0,,PHTO SCHOOL ZN SPEED VIOLATION,,,,,Brooklyn,6.0,Friday,2024,7,,July
5604629856,1AK8791,MS,PAS,2024-07-11,12,PK,FORD,V,0,0,0,0,,0,0,0,,,0438P,,,,,NB WEBSTER AVE @ E 1,98th St,0.0,1111.0,C,T,,,,RED,,2020.0,,0.0,,MOBILE BUS LANE VIOLATION,,,,RED,Other,4.0,Thursday,2024,7,,July
4909404478,LLE1741,NY,PAS,2024-07-26,36,SUBN,JEEP,V,0,0,0,0,,0,0,0,,,0455P,,ST,,,SB BLOOMINGDALE RD @,SARCONA CT,0.0,1180.0,B,T,,,,WH,,2010.0,,0.0,,PHTO SCHOOL ZN SPEED VIOLATION,,,,WHITE,Staten Island,4.0,Friday,2024,7,,July
4909200216,DXR7198,NY,PAS,2024-07-25,36,SUBN,JEEP,V,0,0,0,0,,0,0,0,,,1142A,,QN,,,EB QUEENS BLVD @ 72N,D ST,0.0,1180.0,B,T,,,,GY,,2017.0,,0.0,,PHTO SCHOOL ZN SPEED VIOLATION,,,,GREY,Queens,11.0,Thursday,2024,7,,July
4038011690,MLW4057,PA,PAS,2024-07-12,5,SW,MAZDA,V,0,0,0,0,,0,0,0,,,0721A,,QN,,,NB MAIN ST @ 39TH AV,E,0.0,1111.0,C,T,,,,,,2004.0,,0.0,,BUS LANE VIOLATION,,,,,Queens,7.0,Friday,2024,7,,July
4037900993,LGE3916,NY,SRF,2024-07-06,5,SUBN,TESLA,V,0,0,0,0,,0,0,0,,,1124A,,QN,,,SB MAIN ST @ 37TH AV,E,0.0,1111.0,C,T,,,,BL,,2023.0,,0.0,,BUS LANE VIOLATION,,,,BLACK,Queens,11.0,Saturday,2024,7,,July
8816549580,LKH5686,NY,PAS,2024-07-16,14,SUBN,JEEP,T,67030,80330,56030,20260430,77.0,77,77,378308,T301,R,0426P,,K,O,816,NOSTRAND AVE,,0.0,408.0,C,,YYYYY,0400P,0700P,BK,,2008.0,,0.0,19.0,14-NO STANDING,,,,BLACK,Brooklyn,4.0,Tuesday,2024,7,16.0,July
9136594970,GMK1035,NY,PAS,2024-07-11,21,4DSD,HONDA,T,65930,54000,95030,20251228,94.0,94,94,378316,T301,Q,0934A,,K,R,53,N 3RD ST,,0.0,408.0,D1,,Y,0900A,1030A,GY,,2009.0,,0.0,17.0,21-NO PARKING (STREET CLEAN),,,,GREY,Brooklyn,9.0,Thursday,2024,7,9.0,July
9137357440,LBT7207,NY,PAS,2024-06-26,38,SUBN,TOYOT,T,34510,10410,10510,20250523,14.0,14,14,374555,T102,N,0747P,,NY,F,36,W 37TH ST,,0.0,408.0,H1,,YYYYY,0600P,1200A,GY,,2023.0,104449,0.0,99.0,38-FAILURE TO DSPLAY METER REC,,,,GREY,Manhattan,7.0,Wednesday,2024,6,18.0,June
9139571373,LGF1825,NY,PAS,2024-06-27,38,SUBN,CADIL,T,14880,35380,35430,20251023,61.0,61,61,370808,T302,D,0121P,,K,F,1315,AVENUE Z,,0.0,408.0,H1,,YYYYYY,0900A,0700P,BK,,2022.0,322095,0.0,46.0,38-FAILURE TO DSPLAY METER REC,,,,BLACK,Brooklyn,1.0,Thursday,2024,6,9.0,June
9140820415,11959ML,NY,COM,2024-07-03,42,VAN,CHEVR,T,10010,18270,18290,20260531,19.0,19,19,373127,T103,K,1205P,1142A,NY,F,1200,1ST AVE,,0.0,408.0,H1,,YYYYY,0900A,0700P,GY,,2010.0,102628,0.0,62.0,42-EXP METER (COM ZONE),,,,GREY,Manhattan,12.0,Wednesday,2024,7,9.0,July
